symbol,name,sector
NESTLEIND,Nestle India,Consumer Staples
NMDC,NMDC,Metals
NTPC,NTPC,Utilities
OBEROIRLTY,Oberoi Realty,Real Estate
OFSS,Oracle Financial Services,Information Technology
ONGC,Oil and Natural Gas Corporation,Energy
PAGEIND,Page Industries,Consumer Discretionary
PEL,Piramal Enterprises,Financial Services
PERSISTENT,Persistent Systems,Information Technology
PETRONET,Petronet LNG,Energy
PFC,Power Finance Corporation,Financial Services
PIDILITIND,Pidilite Industries,Materials
PIIND,PI Industries,Materials
PNB,Punjab National Bank,Financial Services
POLYCAB,Polycab India,Industrials
POWERGRID,Power Grid Corporation,Utilities
PVRINOX,PVR INOX,Consumer Discretionary
RAMCOCEM,Ramco Cements,Materials
RBLBANK,RBL Bank,Financial Services
RECLTD,REC,Financial Services
RELIANCE,Reliance Industries,Energy
SAIL,Steel Authority of India,Metals
SBICARD,SBI Cards,Financial Services
SBILIFE,SBI Life Insurance,Financial Services
SBIN,State Bank of India,Financial Services
SHREECEM,Shree Cement,Materials
SHRIRAMFIN,Shriram Finance,Financial Services
SIEMENS,Siemens,Industrials
SRF,SRF,Materials
SUNPHARMA,Sun Pharmaceutical,Healthcare
SUNTV,Sun TV Network,Telecom
SYNGENE,Syngene International,Healthcare
TATACHEM,Tata Chemicals,Materials
TATACOMM,Tata Communications,Telecom
TATACONSUM,Tata Consumer Products,Consumer Staples
TATAMOTORS,Tata Motors,Automobile
TATAPOWER,Tata Power,Utilities
TATASTEEL,Tata Steel,Metals
TCS,Tata Consultancy Services,Information Technology
TECHM,Tech Mahindra,Information Technology
TITAN,Titan Company,Consumer Discretionary
TORNTPHARM,Torrent Pharmaceuticals,Healthcare
TRENT,Trent,Consumer Discretionary
TVSMOTOR,TVS Motor,Automobile
UBL,United Breweries,Consumer Staples
ULTRACEMCO,UltraTech Cement,Materials
UPL,UPL,Materials
VEDL,Vedanta,Metals
VOLTAS,Voltas,Consumer Discretionary
WIPRO,Wipro,Information Technology
ZEEL,Zee Entertainment,Telecom
ZYDUSLIFE,Zydus Lifesciences,Healthcare
